time,frequency,midi
8.787499999999999645e+00,2.962962962962963047e+02,6.200000000000000000e+01
8.812500000000000000e+00,2.962962962962963047e+02,6.200000000000000000e+01
8.837500000000000355e+00,2.962962962962963047e+02,6.200000000000000000e+01
8.862500000000000711e+00,2.962962962962963047e+02,6.200000000000000000e+01
8.887499999999999289e+00,2.962962962962963047e+02,6.200000000000000000e+01
8.912499999999999645e+00,2.962962962962963047e+02,6.200000000000000000e+01
8.937500000000000000e+00,2.962962962962963047e+02,6.200000000000000000e+01
8.962500000000000355e+00,2.962962962962963047e+02,6.200000000000000000e+01
8.987500000000000711e+00,2.962962962962963047e+02,6.200000000000000000e+01
9.012499999999999289e+00,2.962962962962963047e+02,6.200000000000000000e+01
9.037499999999999645e+00,2.962962962962963047e+02,6.200000000000000000e+01
9.062500000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.087500000000000355e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.112500000000000711e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.137499999999999289e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.162499999999999645e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.187500000000000000e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.212500000000000355e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.237500000000000711e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.262499999999999289e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.287499999999999645e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.312500000000000000e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.337500000000000355e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.362500000000000711e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.387499999999999289e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.412499999999999645e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.437500000000000000e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.462500000000000355e+00,2.335766423357664223e+02,5.800000000000000000e+01
9.487500000000000711e+00,2.285714285714285836e+02,5.800000000000000000e+01
9.512499999999999289e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.537499999999999645e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.562500000000000000e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.587500000000000355e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.612500000000000711e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.637499999999999289e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.662499999999999645e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.687500000000000000e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.712500000000000355e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.737500000000000711e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.762499999999999289e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.787499999999999645e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.812500000000000000e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.837500000000000355e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.862500000000000711e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.887499999999999289e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.912499999999999645e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.937500000000000000e+00,2.206896551724137794e+02,5.700000000000000000e+01
9.962500000000000355e+00,2.162162162162162247e+02,5.700000000000000000e+01
9.987500000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.001249999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.003749999999999964e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.006250000000000000e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.008750000000000036e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.011250000000000071e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.013749999999999929e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.016249999999999964e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.018750000000000000e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.021250000000000036e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.023750000000000071e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.026249999999999929e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.028749999999999964e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.031250000000000000e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.033750000000000036e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.036250000000000071e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.038749999999999929e+01,2.962962962962963047e+02,6.200000000000000000e+01
1.041249999999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.043750000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.046250000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.048750000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.051249999999999929e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.053749999999999964e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.056250000000000000e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.058750000000000036e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.061250000000000071e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.063749999999999929e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.066249999999999964e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.068750000000000000e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.071250000000000036e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.073750000000000071e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.076249999999999929e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.078749999999999964e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.081250000000000000e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.083750000000000036e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.086250000000000071e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.088749999999999929e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.091249999999999964e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.093750000000000000e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.096250000000000036e+01,2.480620155038759549e+02,5.900000000000000000e+01
1.098750000000000071e+01,2.560000000000000000e+02,6.000000000000000000e+01
1.101249999999999929e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.103749999999999964e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.106250000000000000e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.108750000000000036e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.111250000000000071e+01,2.601626016260162828e+02,6.000000000000000000e+01
1.113749999999999929e+01,2.601626016260162828e+02,6.000000000000000000e+01
1.116249999999999964e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.118750000000000000e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.121250000000000036e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.123750000000000071e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.126249999999999929e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.128749999999999964e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.131250000000000000e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.133750000000000036e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.136250000000000071e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.138749999999999929e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.141249999999999964e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.143750000000000000e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.146250000000000036e+01,2.622950819672130933e+02,6.000000000000000000e+01
1.148750000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.151249999999999929e+01,2.206896551724137794e+02,5.700000000000000000e+01
1.153749999999999964e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.156250000000000000e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.158750000000000036e+01,2.176870748299319587e+02,5.700000000000000000e+01
1.161250000000000071e+01,2.176870748299319587e+02,5.700000000000000000e+01
1.163749999999999929e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.166249999999999964e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.168750000000000000e+01,2.176870748299319587e+02,5.700000000000000000e+01
1.171250000000000036e+01,2.176870748299319587e+02,5.700000000000000000e+01
1.173750000000000071e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.176249999999999929e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.178749999999999964e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.181250000000000000e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.183750000000000036e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.186250000000000071e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.188749999999999929e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.191249999999999964e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.193750000000000000e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.196250000000000036e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.198750000000000071e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.201249999999999929e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.203749999999999964e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.206250000000000000e+01,2.191780821917808169e+02,5.700000000000000000e+01
1.208750000000000036e+01,2.424242424242424363e+02,5.900000000000000000e+01
1.211250000000000071e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.213749999999999929e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.216249999999999964e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.218750000000000000e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.221250000000000036e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.223750000000000071e+01,2.461538461538461604e+02,5.900000000000000000e+01
1.226249999999999929e+01,2.461538461538461604e+02,5.900000000000000000e+01
